"batch_id","run_id","jcm","ccrs_mode","file","line","action_type","target","outcome"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2357","move_post","http://127.0.1.1:8080/cells/15/5","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2358","move","http://127.0.1.1:8080/cells/15/5","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2373","move_attempt","http://127.0.1.1:8080/cells/15/6","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2374","move_post","http://127.0.1.1:8080/cells/15/6","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2375","move","http://127.0.1.1:8080/cells/15/6","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2388","move_attempt","http://127.0.1.1:8080/cells/15/7","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2389","move_post","http://127.0.1.1:8080/cells/15/7","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2390","move","http://127.0.1.1:8080/cells/15/7","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2403","move_attempt","http://127.0.1.1:8080/cells/15/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2404","move_post","http://127.0.1.1:8080/cells/15/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2405","move","http://127.0.1.1:8080/cells/15/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2420","move_attempt","http://127.0.1.1:8080/cells/14/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2421","move_post","http://127.0.1.1:8080/cells/14/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2422","move","http://127.0.1.1:8080/cells/14/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2432","backtrack","http://127.0.1.1:8080/cells/15/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2433","move_attempt","http://127.0.1.1:8080/cells/15/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2434","move_post","http://127.0.1.1:8080/cells/15/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2435","move","http://127.0.1.1:8080/cells/15/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2449","move_attempt","http://127.0.1.1:8080/cells/16/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2450","move_post","http://127.0.1.1:8080/cells/16/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2451","move","http://127.0.1.1:8080/cells/16/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2464","move_attempt","http://127.0.1.1:8080/cells/17/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2465","move_post","http://127.0.1.1:8080/cells/17/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2466","move","http://127.0.1.1:8080/cells/17/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2481","move_attempt","http://127.0.1.1:8080/cells/18/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2482","move_post","http://127.0.1.1:8080/cells/18/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2483","move","http://127.0.1.1:8080/cells/18/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2496","move_attempt","http://127.0.1.1:8080/cells/18/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2497","move_post","http://127.0.1.1:8080/cells/18/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","2498","move","http://127.0.1.1:8080/cells/18/9","success"
