"batch_id","run_id","repetition","jcm","agent_type","ccrs_mode","command_status","exit_code","timeout","run_stop_reason","run_terminal_pattern","run_terminal_line","outcome","reached_exit","failure_category","duration_ms","agent_elapsed_total_ms","agent_elapsed_seconds","agent_elapsed_ms_remainder","move_attempts","optimal_moves","actual_moves","move_delta_from_optimal","access_approved","location_updates","discovered","retrieves","move_posts","action_posts","action_required","action_completed","backtrack_dead_ends","backtracks","decisions","soft_influenced_decisions","strict_influenced_decisions","soft_influence_rate","strict_influence_rate","multi_option_decisions","multi_option_with_ccrs","multi_option_with_ccrs_rate","multi_option_overruled","multi_option_overruled_rate","zero_or_one_option_decisions","average_agent_cycle_duration_ms","average_agent_cycle_duration_status","average_cycle_opp0_ms","average_cycle_opp1_ms","average_cycle_opp2_ms","average_cycle_opp3plus_ms","average_cycle_cont1_ms","average_cycle_cont2_ms","average_cycle_cont3plus_ms","ccrs_detected","ccrs_detected_signifier","ccrs_detected_stigmergy","contingency_invocations","contingency_suggestions","contingency_no_help","direct_suggestion_executions","guidance_executions","unhandled_failures","triples_found","mase_events","mase_agent_moved","mase_transactions","mase_post_transactions","mase_startup_transactions","mase_committed_transactions","mase_failed_transactions","mase_rolled_back_transactions","mase_failed_or_rolled_back_transactions","mase_unique_cells","mase_final_agent","mase_final_cell","mase_first_timestamp","mase_last_timestamp","agent_mase_move_delta","metric_quality"
"baseline-vs-ccrs-v2","001-baseline",,"dfs_baseline.jcm","manual","none","manual_import",,"False","manual_import",,,"success","True","",,"47510","47","510","367","118","367","249","367","367","257","368","367","0","0","0","110","110","0","0","0","0","0","0","0","0","0","0","0","127.6","","127.6",,,,,,,"0","0","0","0","0","0","0","0","0","5959","734","367","367","367","0","367","0","0","0","257","http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/999","1779620479653","1779620526402","0","structured"
"baseline-vs-ccrs-v2","002-ccrs",,"dfs_ccrs.jcm","manual","both","manual_import",,"False","manual_import",,,"success","True","",,"18860","18","860","147","118","147","29","147","147","142","148","147","0","0","0","5","5","139","102","15","0.7338","0.1079","46","38","0.8261","15","0.3261","93","126.01","","122.11","129.47","126.16","128.64",,,,"181","49","132","0","0","0","0","0","0","4152","294","147","147","147","0","147","0","0","0","142","http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/999","1779620789259","1779620807689","0","structured"
