"batch_id","zone","zone_title","zone_order","run_id","jcm","ccrs_mode","completed","completion_cell","start_cell","final_cell","start_step","final_step","total_duration_ms","total_moves","average_cycle_duration_ms","optimal_moves","actual_moves","move_delta_from_optimal","multi_option_decisions","multi_option_with_ccrs","multi_option_overruled","zero_or_one_option_decisions"
"baseline-vs-ccrs-v2","signifier","Signifier Zone","1","001-baseline","dfs_baseline.jcm","none","yes","cells/13/5","cells/0","cells/13/5","1","152","19015","152","125.93","17","152","135","0","0","0","0"
"baseline-vs-ccrs-v2","stigmergy","Stigmergy Zone","2","001-baseline","dfs_baseline.jcm","none","yes","cells/28/14","cells/13/5","cells/28/14","152","182","3684","30","122.8","24","30","6","0","0","0","0"
"baseline-vs-ccrs-v2","mixed","Mixed Zone","3","001-baseline","dfs_baseline.jcm","none","yes","cells/36/37","cells/28/14","cells/36/37","182","319","17728","137","129.4","37","137","100","0","0","0","0"
"baseline-vs-ccrs-v2","construction-site","Construction Site Zone","4","001-baseline","dfs_baseline.jcm","none","yes","cells/39/43","cells/36/37","cells/39/43","319","338","2458","19","129.37","19","19","0","0","0","0","0"
"baseline-vs-ccrs-v2","social","Social Zone","5","001-baseline","dfs_baseline.jcm","none","yes","cells/999","cells/39/43","cells/999","338","367","3817","29","131.62","19","29","10","0","0","0","0"
"baseline-vs-ccrs-v2","signifier","Signifier Zone","1","002-ccrs","dfs_ccrs.jcm","both","yes","cells/13/5","cells/0","cells/13/5","1","18","2291","18","134.76","17","18","1","7","7","4","10"
"baseline-vs-ccrs-v2","stigmergy","Stigmergy Zone","2","002-ccrs","dfs_ccrs.jcm","both","yes","cells/28/14","cells/13/5","cells/28/14","18","42","3018","24","125.75","24","24","0","8","8","3","16"
"baseline-vs-ccrs-v2","mixed","Mixed Zone","3","002-ccrs","dfs_ccrs.jcm","both","yes","cells/36/37","cells/28/14","cells/36/37","42","99","7248","57","127.16","37","57","20","20","20","8","37"
"baseline-vs-ccrs-v2","construction-site","Construction Site Zone","4","002-ccrs","dfs_ccrs.jcm","both","yes","cells/39/43","cells/36/37","cells/39/43","99","118","2320","19","122.11","19","19","0","5","3","0","14"
"baseline-vs-ccrs-v2","social","Social Zone","5","002-ccrs","dfs_ccrs.jcm","both","yes","cells/999","cells/39/43","cells/999","118","147","3521","29","121.41","19","29","10","6","0","0","16"
