"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4919","run-2026-05-24T10-59-10-998Z","6402719","unknown","AGENT_MOVED","1779620481098","1779620481108",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/6",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4920","run-2026-05-24T10-59-10-998Z","6402720","unknown","TRANSACTION","1779620481099","1779620481108",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/6","2463","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4921","run-2026-05-24T10-59-10-998Z","6402721","unknown","AGENT_MOVED","1779620481229","1779620481241",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/6",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4922","run-2026-05-24T10-59-10-998Z","6402722","unknown","TRANSACTION","1779620481231","1779620481241",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/6","2464","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4923","run-2026-05-24T10-59-10-998Z","6402723","unknown","AGENT_MOVED","1779620481365","1779620481375",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/3/6",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4924","run-2026-05-24T10-59-10-998Z","6402724","unknown","TRANSACTION","1779620481367","1779620481375",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/3/6","2465","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4925","run-2026-05-24T10-59-10-998Z","6402725","unknown","AGENT_MOVED","1779620481509","1779620481525",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/3/7",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4926","run-2026-05-24T10-59-10-998Z","6402726","unknown","TRANSACTION","1779620481512","1779620481525",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/3/7","2466","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4927","run-2026-05-24T10-59-10-998Z","6402727","unknown","AGENT_MOVED","1779620481631","1779620481640",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/3/8",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4928","run-2026-05-24T10-59-10-998Z","6402728","unknown","TRANSACTION","1779620481632","1779620481640",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/3/8","2467","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4929","run-2026-05-24T10-59-10-998Z","6402729","unknown","AGENT_MOVED","1779620481766","1779620481773",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/3/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4930","run-2026-05-24T10-59-10-998Z","6402730","unknown","TRANSACTION","1779620481777","1779620481790",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/3/9","2468","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4931","run-2026-05-24T10-59-10-998Z","6402731","unknown","AGENT_MOVED","1779620481902","1779620481930",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/9",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4932","run-2026-05-24T10-59-10-998Z","6402732","unknown","TRANSACTION","1779620481906","1779620481930",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/9","2469","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4933","run-2026-05-24T10-59-10-998Z","6402733","unknown","AGENT_MOVED","1779620482036","1779620482059",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/10",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4934","run-2026-05-24T10-59-10-998Z","6402734","unknown","TRANSACTION","1779620482038","1779620482059",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/10","2470","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4935","run-2026-05-24T10-59-10-998Z","6402735","unknown","AGENT_MOVED","1779620482166","1779620482174",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/10",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4936","run-2026-05-24T10-59-10-998Z","6402736","unknown","TRANSACTION","1779620482178","1779620482189",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/10","2471","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4937","run-2026-05-24T10-59-10-998Z","6402737","unknown","AGENT_MOVED","1779620482297","1779620482308",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/10",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4938","run-2026-05-24T10-59-10-998Z","6402738","unknown","TRANSACTION","1779620482299","1779620482308",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/10","2472","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4939","run-2026-05-24T10-59-10-998Z","6402739","unknown","AGENT_MOVED","1779620482439","1779620482456",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/11",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4940","run-2026-05-24T10-59-10-998Z","6402740","unknown","TRANSACTION","1779620482440","1779620482456",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/11","2473","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4941","run-2026-05-24T10-59-10-998Z","6402741","unknown","AGENT_MOVED","1779620482553","1779620482574",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/10",,"-1",,
