"batch_id","run_id","repetition","jcm","agent_type","ccrs_mode","command_status","exit_code","timeout","run_stop_reason","run_terminal_pattern","run_terminal_line","outcome","reached_exit","failure_category","duration_ms","agent_elapsed_total_ms","agent_elapsed_seconds","agent_elapsed_ms_remainder","move_attempts","optimal_moves","actual_moves","move_delta_from_optimal","access_approved","location_updates","discovered","retrieves","move_posts","action_posts","action_required","action_completed","backtrack_dead_ends","backtracks","decisions","soft_influenced_decisions","strict_influenced_decisions","soft_influence_rate","strict_influence_rate","multi_option_decisions","multi_option_with_ccrs","multi_option_with_ccrs_rate","multi_option_overruled","multi_option_overruled_rate","zero_or_one_option_decisions","average_agent_cycle_duration_ms","average_agent_cycle_duration_status","average_cycle_opp0_ms","average_cycle_opp1_ms","average_cycle_opp2_ms","average_cycle_opp3plus_ms","average_cycle_cont1_ms","average_cycle_cont2_ms","average_cycle_cont3plus_ms","ccrs_detected","ccrs_detected_signifier","ccrs_detected_stigmergy","contingency_invocations","contingency_suggestions","contingency_no_help","direct_suggestion_executions","guidance_executions","unhandled_failures","triples_found","mase_events","mase_agent_moved","mase_transactions","mase_post_transactions","mase_startup_transactions","mase_committed_transactions","mase_failed_transactions","mase_rolled_back_transactions","mase_failed_or_rolled_back_transactions","mase_unique_cells","mase_final_agent","mase_final_cell","mase_first_timestamp","mase_last_timestamp","agent_mase_move_delta","metric_quality"
"baseline-vs-ccrs-v1","001-baseline",,"dfs_baseline.jcm","manual","none","manual_import",,"False","manual_import",,,"failure","False","unhandled_action_failure",,,,,"241","118","241","123","241","241","118","242","241","0","0","0","118","117","0","0","0","0","0","0","0","0","0","0","0","123.43","","123.43",,,,,,,"0","0","0","0","0","0","0","0","1",,"482","241","241","241","0","241","0","0","0","118","http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/0","1779624399386","1779624429041","0","structured"
"baseline-vs-ccrs-v1","002-ccrs",,"dfs_ccrs.jcm","manual","both","manual_import",,"False","manual_import",,,"success","True","",,"46923","46","923","149","118","149","31","149","152","144","153","149","3","3","3","5","5","141","105","15","0.7447","0.1064","46","38","0.8261","15","0.3261","95","307.61","","121.22","134.31","128.42","126","12497","5953","9126","186","52","134","3","6","1","3","0","0","4352","301","149","152","152","0","152","0","0","0","144","http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/999","1779624684262","1779624730734","0","structured"
