"batch_id","run_id","jcm","ccrs_mode","file","line","action_type","target","outcome"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","9","move_attempt","http://127.0.1.1:8080/cells/0","attempted"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","10","move_post","http://127.0.1.1:8080/cells/0","requested"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","11","move","http://127.0.1.1:8080/cells/0","success"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","23","move_attempt","http://127.0.1.1:8080/cells/0/2","attempted"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","24","move_post","http://127.0.1.1:8080/cells/0/2","requested"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","25","move","http://127.0.1.1:8080/cells/0/2","success"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","38","move_attempt","http://127.0.1.1:8080/cells/1/2","attempted"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","39","move_post","http://127.0.1.1:8080/cells/1/2","requested"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","40","move","http://127.0.1.1:8080/cells/1/2","success"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","53","move_attempt","http://127.0.1.1:8080/cells/2/2","attempted"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","54","move_post","http://127.0.1.1:8080/cells/2/2","requested"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","55","move","http://127.0.1.1:8080/cells/2/2","success"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","72","move_attempt","http://127.0.1.1:8080/cells/2/3","attempted"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","73","move_post","http://127.0.1.1:8080/cells/2/3","requested"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","74","move","http://127.0.1.1:8080/cells/2/3","success"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mas-0.log","87","move_attempt","http://127.0.1.1:8080/cells/2/4","attempted"
