"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4827","run-2026-05-24T11-07-04-892Z","6413453","unknown","AGENT_MOVED","1779624399386","1779624399403",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/0",,"-1",,
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4828","run-2026-05-24T11-07-04-892Z","6413454","unknown","TRANSACTION","1779624399387","1779624399403",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/0","2488","POST","COMMITTED"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4829","run-2026-05-24T11-07-04-892Z","6413455","unknown","AGENT_MOVED","1779624399546","1779624399555",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/0/2",,"-1",,
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4830","run-2026-05-24T11-07-04-892Z","6413456","unknown","TRANSACTION","1779624399547","1779624399555",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/0/2","2489","POST","COMMITTED"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4831","run-2026-05-24T11-07-04-892Z","6413457","unknown","AGENT_MOVED","1779624399702","1779624399718",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/2",,"-1",,
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4832","run-2026-05-24T11-07-04-892Z","6413458","unknown","TRANSACTION","1779624399703","1779624399718",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/2","2490","POST","COMMITTED"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4833","run-2026-05-24T11-07-04-892Z","6413459","unknown","AGENT_MOVED","1779624399861","1779624399871",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/2",,"-1",,
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4834","run-2026-05-24T11-07-04-892Z","6413460","unknown","TRANSACTION","1779624399875","1779624399886",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/2","2491","POST","COMMITTED"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4835","run-2026-05-24T11-07-04-892Z","6413461","unknown","AGENT_MOVED","1779624400010","1779624400026",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/3",,"-1",,
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4836","run-2026-05-24T11-07-04-892Z","6413462","unknown","TRANSACTION","1779624400012","1779624400026",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/3","2492","POST","COMMITTED"
