"batch_id","run_id","jcm","ccrs_mode","agent_label","step","file","line","sequence","timestamp_ms","duration_ms","previous_cell","cell","opp_ccrs_detected_count","contingency_ccrs_invocation_count"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","1","mas-0.log","28","28","47189308",,"http://127.0.1.1:8080/maze","http://127.0.1.1:8080/cells/0","0","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","2","mas-0.log","50","50","47189457","149","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/0/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","3","mas-0.log","72","72","47189599","142","http://127.0.1.1:8080/cells/0/2","http://127.0.1.1:8080/cells/1/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","4","mas-0.log","96","96","47189749","150","http://127.0.1.1:8080/cells/1/2","http://127.0.1.1:8080/cells/2/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","5","mas-0.log","120","120","47189886","137","http://127.0.1.1:8080/cells/2/2","http://127.0.1.1:8080/cells/3/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","6","mas-0.log","143","143","47190021","135","http://127.0.1.1:8080/cells/3/2","http://127.0.1.1:8080/cells/4/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","7","mas-0.log","167","167","47190154","133","http://127.0.1.1:8080/cells/4/2","http://127.0.1.1:8080/cells/5/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","8","mas-0.log","190","190","47190288","134","http://127.0.1.1:8080/cells/5/2","http://127.0.1.1:8080/cells/6/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","9","mas-0.log","214","214","47190411","123","http://127.0.1.1:8080/cells/6/2","http://127.0.1.1:8080/cells/7/2","1","0"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","10","mas-0.log","238","238","47190543","132","http://127.0.1.1:8080/cells/7/2","http://127.0.1.1:8080/cells/8/2","1","0"
