"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4919","run-2026-05-24T11-02-24-828Z","6408352","unknown","AGENT_MOVED","1779620790652","1779620790664",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/9/2",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4920","run-2026-05-24T11-02-24-828Z","6408353","unknown","TRANSACTION","1779620790653","1779620790664",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/9/2","5281","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4921","run-2026-05-24T11-02-24-828Z","6408354","unknown","AGENT_MOVED","1779620790781","1779620790799",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/10/2",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4922","run-2026-05-24T11-02-24-828Z","6408355","unknown","TRANSACTION","1779620790783","1779620790799",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/10/2","5282","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4923","run-2026-05-24T11-02-24-828Z","6408356","unknown","AGENT_MOVED","1779620790913","1779620790932",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/10/3",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4924","run-2026-05-24T11-02-24-828Z","6408357","unknown","TRANSACTION","1779620790914","1779620790932",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/10/3","5283","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4925","run-2026-05-24T11-02-24-828Z","6408358","unknown","AGENT_MOVED","1779620791036","1779620791049",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/11/3",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4926","run-2026-05-24T11-02-24-828Z","6408359","unknown","TRANSACTION","1779620791038","1779620791049",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/11/3","5284","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4927","run-2026-05-24T11-02-24-828Z","6408360","unknown","AGENT_MOVED","1779620791169","1779620791183",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/12/3",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4928","run-2026-05-24T11-02-24-828Z","6408361","unknown","TRANSACTION","1779620791171","1779620791183",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/12/3","5285","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4929","run-2026-05-24T11-02-24-828Z","6408362","unknown","AGENT_MOVED","1779620791311","1779620791334",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/12/4",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4930","run-2026-05-24T11-02-24-828Z","6408363","unknown","TRANSACTION","1779620791313","1779620791334",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/12/4","5286","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4931","run-2026-05-24T11-02-24-828Z","6408364","unknown","AGENT_MOVED","1779620791439","1779620791449",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/12/5",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4932","run-2026-05-24T11-02-24-828Z","6408365","unknown","TRANSACTION","1779620791440","1779620791449",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/12/5","5287","POST","COMMITTED"
