"batch_id","run_id","jcm","ccrs_mode","agent_label","step","file","line","sequence","timestamp_ms","duration_ms","previous_cell","cell","opp_ccrs_detected_count","contingency_ccrs_invocation_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","60","mas-0.log","2215","2215","51104545","131","http://127.0.1.1:8080/cells/35/21","http://127.0.1.1:8080/cells/36/21","4","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","61","mas-0.log","2241","2241","51104658","113","http://127.0.1.1:8080/cells/36/21","http://127.0.1.1:8080/cells/36/22","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","62","mas-0.log","2266","2266","51104778","120","http://127.0.1.1:8080/cells/36/22","http://127.0.1.1:8080/cells/36/23","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","63","mas-0.log","2291","2291","51104894","116","http://127.0.1.1:8080/cells/36/23","http://127.0.1.1:8080/cells/37/23","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","64","mas-0.log","2315","2315","51105039","145","http://127.0.1.1:8080/cells/37/23","http://127.0.1.1:8080/cells/37/24","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","65","mas-0.log","2342","2342","51105169","130","http://127.0.1.1:8080/cells/37/24","http://127.0.1.1:8080/cells/37/25","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","66","mas-0.log","2367","2367","51105303","134","http://127.0.1.1:8080/cells/37/25","http://127.0.1.1:8080/cells/37/26","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","67","mas-0.log","2394","2394","51105427","124","http://127.0.1.1:8080/cells/37/26","http://127.0.1.1:8080/cells/37/27","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","68","mas-0.log","2419","2419","51105555","128","http://127.0.1.1:8080/cells/37/27","http://127.0.1.1:8080/cells/37/28","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","69","mas-0.log","2446","2446","51105676","121","http://127.0.1.1:8080/cells/37/28","http://127.0.1.1:8080/cells/37/29","3","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","70","mas-0.log","2471","2471","51105817","141","http://127.0.1.1:8080/cells/37/29","http://127.0.1.1:8080/cells/37/30","2","0"
