"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","timestamp","transaction_id","trigger","status","agent","graph","trace_mode","rule_count","error","started_at","finished_at","duration_ms","capture_source"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4936","run-2026-05-24T12-07-23-157Z","6418871","1779624684264","5216","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/0","summary","9",,"1779624684158","1779624684263","105","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4938","run-2026-05-24T12-07-23-157Z","6418873","1779624684434","5217","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/0/2","summary","9",,"1779624684332","1779624684425","93","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4940","run-2026-05-24T12-07-23-157Z","6418875","1779624684587","5218","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/1/2","summary","9",,"1779624684494","1779624684587","93","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4942","run-2026-05-24T12-07-23-157Z","6418877","1779624684732","5219","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/2/2","summary","9",,"1779624684644","1779624684732","88","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4944","run-2026-05-24T12-07-23-157Z","6418879","1779624684885","5220","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/3/2","summary","9",,"1779624684794","1779624684876","82","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4946","run-2026-05-24T12-07-23-157Z","6418881","1779624685021","5221","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/4/2","summary","9",,"1779624684935","1779624685017","82","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4948","run-2026-05-24T12-07-23-157Z","6418883","1779624685157","5222","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/5/2","summary","9",,"1779624685070","1779624685156","86","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4950","run-2026-05-24T12-07-23-157Z","6418885","1779624685288","5223","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/6/2","summary","9",,"1779624685208","1779624685286","78","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4952","run-2026-05-24T12-07-23-157Z","6418887","1779624685416","5224","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/7/2","summary","9",,"1779624685339","1779624685414","75","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4954","run-2026-05-24T12-07-23-157Z","6418889","1779624685552","5225","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/7/3","summary","9",,"1779624685462","1779624685550","88","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4956","run-2026-05-24T12-07-23-157Z","6418891","1779624685699","5226","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/7/4","summary","9",,"1779624685599","1779624685693","94","unknown"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4958","run-2026-05-24T12-07-23-157Z","6418893","1779624685837","5227","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/8/4","summary","9",,"1779624685742","1779624685831","89","unknown"
