"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4935","run-2026-05-24T12-07-23-157Z","6418870","unknown","AGENT_MOVED","1779624684262","1779624684284",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/0",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4936","run-2026-05-24T12-07-23-157Z","6418871","unknown","TRANSACTION","1779624684264","1779624684284",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/0","5216","POST","COMMITTED"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4937","run-2026-05-24T12-07-23-157Z","6418872","unknown","AGENT_MOVED","1779624684424","1779624684430",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/0/2",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4938","run-2026-05-24T12-07-23-157Z","6418873","unknown","TRANSACTION","1779624684434","1779624684450",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/0/2","5217","POST","COMMITTED"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4939","run-2026-05-24T12-07-23-157Z","6418874","unknown","AGENT_MOVED","1779624684585","1779624684601",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/1/2",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4940","run-2026-05-24T12-07-23-157Z","6418875","unknown","TRANSACTION","1779624684587","1779624684601",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/1/2","5218","POST","COMMITTED"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4941","run-2026-05-24T12-07-23-157Z","6418876","unknown","AGENT_MOVED","1779624684730","1779624684755",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/2/2",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4942","run-2026-05-24T12-07-23-157Z","6418877","unknown","TRANSACTION","1779624684732","1779624684755",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/2/2","5219","POST","COMMITTED"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4943","run-2026-05-24T12-07-23-157Z","6418878","unknown","AGENT_MOVED","1779624684875","1779624684881",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/3/2",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4944","run-2026-05-24T12-07-23-157Z","6418879","unknown","TRANSACTION","1779624684885","1779624684897",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/3/2","5220","POST","COMMITTED"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4945","run-2026-05-24T12-07-23-157Z","6418880","unknown","AGENT_MOVED","1779624685018","1779624685035",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/4/2",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4946","run-2026-05-24T12-07-23-157Z","6418881","unknown","TRANSACTION","1779624685021","1779624685035",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/4/2","5221","POST","COMMITTED"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4947","run-2026-05-24T12-07-23-157Z","6418882","unknown","AGENT_MOVED","1779624685154","1779624685166",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/5/2",,"-1",,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4948","run-2026-05-24T12-07-23-157Z","6418883","unknown","TRANSACTION","1779624685157","1779624685166",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/5/2","5222","POST","COMMITTED"
